id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
672,Henny Penny,duis mattis egestas metus aenean,Kimmie Buddington,2009,Short story,English,Mexico,penatibus et magnis dis parturient montes nascetur
673,The Fisherman and his Wife,penatibus et magnis,Eartha Simonnin,1997,Novel,English,Estonia,rutrum neque aenean auctor gravida sem praesent id massa id nisl
674,Trickster Tales,turpis adipiscing lorem,Obidiah Besque,2006,Novel,English,Thailand,proin at turpis a pede posuere nonummy integer non velit
675,Belling the Cat,in est,Dall Lightwing,1999,Novel,English,Iceland,curae mauris viverra diam vitae quam suspendisse potenti
676,Aesops Fables,duis consequat dui nec nisi volutpat,Morly Clutheram,1993,Short story,English,Jamaica,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
677,The Ugly Duckling,iaculis congue,Kendall Jewis,2003,Short story,English,France,ante ipsum primis in faucibus
678,The Fisherman and his Wife,lacinia aenean sit amet,Prissie Biddwell,2009,Short story,English,Jamaica,tellus semper interdum mauris ullamcorper
679,Hansel and Gretel,at vulputate vitae nisl aenean lectus,Renie Edscer,1994,Novel,English,Norway,egestas metus aenean fermentum donec ut
680,Belling the Cat,gravida sem praesent,Mauricio Standrin,1996,Short story,English,Barbados,nascetur ridiculus mus vivamus vestibulum sagittis sapien
681,Little Red Riding Hood,amet consectetuer,Clarence Dolphin,1999,Novel,English,Portugal,tincidunt lacus at velit vivamus vel nulla eget eros elementum
682,The Princess and the Pea,rutrum at lorem integer tincidunt,Kiel Start,2009,Short story,English,Barbados,
683,Stone Soup,nisl aenean lectus pellentesque eget,Wilburt Farryn,1996,Novel,English,Mexico,eget nunc
684,The Fox and the Grapes,sed ante,Nertie Stockey,2009,Novel,English,India,interdum venenatis turpis enim
685,The Little Red Hen,nec euismod scelerisque quam,Minnnie Mitchley,1994,Novel,English,Norway,bibendum imperdiet nullam orci
686,Ghost Stories,vestibulum ante ipsum primis in,Sigismondo Sheldon,2007,Short story,English,Portugal,amet erat nulla
687,Henny Penny,platea dictumst etiam,Jacki Featherbie,2002,Short story,English,Barbados,
688,Tom Thumb,hac habitasse platea dictumst,Lucina Bagnold,1998,Short story,English,United Kingdom,eros vestibulum ac est lacinia
689,Henny Penny,cras in purus eu,Prudy Bestall,2004,Short story,English,United States,
690,Trickster Tales,semper est quam pharetra magna ac,Cornie Lazonby,1998,Novel,English,Japan,
691,The Fisherman and his Wife,nisl nunc rhoncus dui vel,Nichole de'-Ancy Willis,2009,Novel,English,Portugal,
692,The Lion and the Mouse,nisl ut volutpat sapien,Claude Spinley,1995,Novel,English,France,nunc purus phasellus in felis donec semper sapien a libero nam dui
693,Seven Swabians,nisi at nibh in,Adina Weeke,1984,Novel,English,Sweden,iaculis justo in hac
694,Hansel and Gretel,pretium nisl ut,Drusi Pirolini,2010,Short story,English,Hungary,augue vestibulum rutrum rutrum neque aenean auctor gravida
695,Brer Rabbit,proin interdum,Culver Jerromes,1998,Novel,English,Germany,molestie lorem quisque ut
696,Little Red Riding Hood,lobortis vel,Rafaelita Gobert,2012,Short story,English,Mexico,nam dui proin leo
697,Tom Thumb,dui luctus rutrum nulla,Nealy Dicky,2004,Short story,English,Turkey,
698,Belling the Cat,sapien cursus vestibulum proin eu,Albina Joret,2010,Short story,English,Portugal,
699,Seven Swabians,quam suspendisse,Wylma Valerius,1977,Short story,English,Serbia,lorem integer tincidunt ante vel ipsum praesent blandit
700,The Bremen Town Musicians,feugiat et eros,Kathie Gallanders,1996,Short story,English,Iceland,
701,Tom Thumb,odio elementum eu interdum eu,Ximenez Harkes,2002,Short story,English,Singapore,enim sit amet nunc viverra
702,Sleeping Beauty,enim sit amet nunc,Emmott MacIlhargy,1995,Short story,English,Haiti,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
703,The Lion and the Mouse,ligula sit,Jayson Skett,2010,Novel,English,Barbados,nec nisi volutpat eleifend
704,The Fox and the Grapes,mus etiam vel augue,Blondie Verbruggen,1987,Novel,English,Iceland,
705,Aesops Fables,mus vivamus vestibulum sagittis sapien,Natalee Ogglebie,2011,Novel,English,Turkey,ullamcorper purus sit amet nulla quisque
706,Goldilocks and the Three Bears,etiam faucibus cursus urna ut tellus,Cristy Crackel,2008,Novel,English,Grenada,eu sapien cursus vestibulum proin eu mi nulla
707,The Lion and the Mouse,convallis tortor risus dapibus,Austina Madders,2008,Novel,English,Greece,
708,Jack and the Beanstalk,nibh in,Alexine Tinline,2010,Novel,English,Sweden,nisi at nibh in
709,Hansel and Gretel,tristique fusce,Tod Jonke,2007,Short story,English,Grenada,
710,Puss in Boots,placerat praesent blandit nam nulla integer,Shoshanna McKennan,2006,Short story,English,United States,
711,Snow White,aliquet at feugiat non,Zitella MacElholm,2003,Novel,English,Dominica,aliquet massa id lobortis convallis tortor risus dapibus augue vel
712,Seven Swabians,faucibus orci,Vasilis Hartshorne,2005,Novel,English,United Kingdom,massa donec dapibus duis at velit eu
713,Little Red Riding Hood,vestibulum vestibulum,Brooke Ruzic,2001,Short story,English,Barbados,erat quisque erat eros
714,Brer Rabbit,penatibus et magnis dis parturient montes,Philipa Bernot,1994,Novel,English,United Kingdom,ante vivamus tortor
715,Cinderella,id justo sit amet sapien dignissim,Sydney Illem,1993,Short story,English,Haiti,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
716,Jack and the Beanstalk,magna bibendum imperdiet nullam orci pede,Michaeline Zeale,2008,Novel,English,Iceland,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla
717,The Teeny Tiny Woman,viverra eget congue eget semper rutrum,Agathe Beak,2002,Novel,English,Mexico,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
718,Sleeping Beauty,nunc viverra,Minny Tempest,1998,Novel,English,Spain,semper est quam
719,The Bremen Town Musicians,ut dolor,Bobette Dunsleve,2009,Short story,English,Portugal,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
720,The Lion and the Mouse,vestibulum sed magna,Nicolette Rodrigo,2009,Novel,English,Norway,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
721,The Grasshopper and the Ants,montes nascetur ridiculus,Kev Menhci,2005,Novel,English,Hungary,erat nulla tempus vivamus
722,The Teeny Tiny Woman,in faucibus,Loria Tzar,1994,Novel,English,Grenada,dui proin leo odio porttitor id
723,Sleeping Beauty,montes nascetur ridiculus mus etiam,Arv Smithe,2005,Novel,English,Hungary,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
724,The Lion and the Mouse,nulla quisque,Barbara-anne Youle,2011,Short story,English,United States,justo lacinia eget tincidunt eget
725,Jack and the Beanstalk,phasellus in,Bonni Duncanson,1995,Short story,English,Norway,nulla sed vel enim sit amet
726,Fractured Fairy Tales,augue a suscipit nulla,Meredith Everitt,2009,Short story,English,Russia,amet eros
727,The Teeny Tiny Woman,morbi a,Alyosha Fronsek,2002,Short story,English,United States,nec sem duis aliquam convallis nunc proin at turpis a pede
728,The Bremen Town Musicians,proin at turpis a pede,Hubert Dimitrijevic,2011,Short story,English,Italy,nulla ultrices aliquet maecenas leo odio condimentum id
729,Trickster Tales,suspendisse ornare consequat lectus in est,Elisabeth Bartczak,2007,Short story,English,Turkey,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
730,Fractured Fairy Tales,in eleifend quam,Genni Bankhurst,2003,Short story,English,Greece,
731,The Town Mouse and the Country Mouse,sapien a libero,Grete Ewence,1989,Short story,English,United States,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
732,Gingerbread Man,ligula vehicula,Uriah Igounet,1997,Novel,English,Dominica,donec semper sapien a libero
733,Fractured Fairy Tales,primis in faucibus,Meggi Genders,1996,Novel,English,Romania,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
734,Tom Thumb,aliquet massa id,Micheil Mettricke,1988,Short story,English,Germany,quam pede lobortis ligula sit amet eleifend pede libero quis orci
735,Snow White,sollicitudin mi sit amet,Delores Stoker,2002,Short story,English,India,
736,Belling the Cat,ut blandit,Raff Murrow,2000,Short story,English,United Kingdom,rhoncus aliquam lacus morbi quis tortor id nulla
737,The Ugly Duckling,lacus at turpis donec,Bernita McKimm,1998,Novel,English,Hungary,etiam vel augue vestibulum rutrum
738,Fractured Fairy Tales,ligula nec sem,Emmerich Logsdail,2009,Short story,English,Greece,et eros vestibulum ac est lacinia
739,Hans in Luck,suspendisse potenti in eleifend quam,Dylan Kunzler,2006,Short story,English,Grenada,blandit mi
740,Rapunzel,nec sem duis aliquam,Farica Ballendine,2004,Novel,English,Norway,
741,Gingerbread Man,orci luctus et ultrices posuere cubilia,Jesus Colledge,2007,Novel,English,Grenada,parturient montes nascetur ridiculus mus
742,Aesops Fables,in porttitor pede justo eu,Mari Dallon,1997,Novel,English,Vietnam,suscipit a feugiat et eros vestibulum ac est
743,The Princess and the Pea,vel dapibus,Katrine Pulhoster,2003,Novel,English,France,consequat in consequat ut nulla sed accumsan
744,Henny Penny,vitae nisi nam ultrices,Sean Simpson,2010,Novel,English,Italy,justo etiam pretium iaculis justo in hac habitasse
745,Brer Rabbit,erat eros,Lucius Twiggs,2008,Novel,English,Nepal,ac nibh fusce lacus purus aliquet at feugiat non pretium quis
746,Seven Swabians,sit amet,Starlin Lempke,1986,Short story,English,Indonesia,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed
747,Ghost Stories,proin eu mi,Roderic Iglesia,2008,Novel,English,United States,
748,Hans in Luck,aliquam lacus morbi quis,Alvina Dickens,2005,Short story,English,United States,odio cras mi pede malesuada
749,Snow White,id turpis integer aliquet,Goraud Trythall,1997,Novel,English,China,potenti in eleifend quam a odio in hac habitasse platea dictumst
750,Stone Soup,elementum nullam varius,Zulema Craw,2002,Short story,English,Nepal,leo odio condimentum id luctus nec molestie sed
751,The Princess and the Pea,consectetuer adipiscing,Ulrikaumeko Spinnace,1995,Novel,English,Iceland,
752,Henny Penny,sed augue,Marta Otto,2010,Novel,English,Germany,ultrices aliquet maecenas leo odio condimentum id luctus
753,Brer Rabbit,donec pharetra magna vestibulum,Jefferey Humby,1996,Short story,English,Dominica,at vulputate vitae nisl aenean
754,Hansel and Gretel,diam in magna bibendum imperdiet,Vaclav Jewes,2006,Novel,English,Vietnam,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
755,Puss in Boots,elementum pellentesque quisque,Sergio Dallyn,2012,Novel,English,Jamaica,ornare consequat lectus in est risus auctor sed tristique
756,Jack and the Beanstalk,ultrices posuere cubilia curae donec,Ariella Aylward,1987,Short story,English,France,venenatis turpis enim
757,Aesops Fables,massa tempor convallis nulla neque libero,Dex Rotter,1993,Short story,English,Spain,
758,Seven Swabians,eget tempus vel pede,Fanny Brooksbie,1964,Short story,English,Barbados,
759,Rapunzel,posuere felis,Madonna Folks,1997,Short story,English,Grenada,
760,Seven Swabians,pharetra magna ac consequat metus sapien,Juli Leggin,1990,Short story,English,United States,nulla facilisi cras non velit nec nisi vulputate nonummy
761,The Town Mouse and the Country Mouse,interdum mauris ullamcorper purus,Cornie O'Donovan,1993,Novel,English,Thailand,
762,The Lion and the Mouse,suscipit nulla elit ac nulla sed,Tabbitha Skittreal,2007,Novel,English,Barbados,at turpis a pede posuere nonummy integer
763,Hansel and Gretel,dignissim vestibulum,Lenci Royds,1998,Short story,English,Hungary,nulla eget eros elementum
764,Sleeping Beauty,morbi a,Carolin Shay,2002,Short story,English,Romania,duis bibendum felis sed interdum
765,Sleeping Beauty,at turpis donec posuere metus vitae,Paquito Aitkenhead,2008,Novel,English,Romania,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit
766,Aesops Fables,elementum in hac habitasse platea dictumst,Marv Hadlow,2012,Novel,English,Vietnam,eget massa
767,Puss in Boots,ultrices posuere cubilia,Normand Gisburne,2003,Novel,English,Estonia,consectetuer eget rutrum at lorem integer tincidunt
768,Sleeping Beauty,ipsum aliquam non mauris morbi non,Sibella Pawden,1996,Short story,English,Mexico,diam cras
769,The Teeny Tiny Woman,ante vestibulum ante ipsum primis in,Zelig Pizzie,1991,Short story,English,Turkey,sit amet erat nulla tempus vivamus in felis eu sapien cursus
770,The Bremen Town Musicians,tincidunt nulla mollis,Edyth Akram,1968,Novel,English,Dominica,porta volutpat erat quisque erat eros viverra eget congue eget semper
771,Little Red Riding Hood,in felis eu,Sheryl Grzelak,2003,Novel,English,Turkey,sed lacus morbi sem
772,Trickster Tales,amet diam in magna,Lucille Coulbeck,2003,Novel,English,Serbia,odio consequat varius integer
773,The Princess and the Pea,sit amet sapien dignissim vestibulum,Anatol Boustead,2005,Novel,English,Romania,nisl ut volutpat sapien arcu sed
774,The Teeny Tiny Woman,rutrum ac,Margit Chatan,2013,Novel,English,India,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
775,Brer Rabbit,consectetuer eget,Deloria Moakler,1996,Novel,English,Malaysia,sagittis sapien cum sociis natoque penatibus et magnis dis parturient
776,The Ugly Duckling,in hac habitasse platea,Claudell Detheridge,1998,Novel,English,Nepal,quis turpis eget elit sodales
777,Brer Rabbit,lacinia sapien,Wren Baxter,2012,Novel,English,Barbados,
778,Tom Thumb,vestibulum vestibulum ante ipsum primis in,Pooh Fawdrie,2005,Novel,English,Portugal,
779,Chicken Little,ac tellus semper interdum mauris ullamcorper,Olva Greenhaugh,1999,Novel,English,Greece,donec ut mauris eget massa
780,Belling the Cat,pede morbi porttitor lorem id ligula,Willi Coffin,1994,Short story,English,United States,sit amet sem fusce consequat
781,Fractured Fairy Tales,purus aliquet at feugiat non,Sherie Beagan,2010,Short story,English,Iceland,porttitor lorem
782,The Little Red Hen,semper porta volutpat quam pede,Steffie Gegg,1994,Short story,English,Nepal,nam dui
783,Chicken Little,vel ipsum praesent,Allen Abels,2002,Short story,English,Haiti,tempus vel pede morbi porttitor
784,Puss in Boots,sit amet,Allsun Le Page,2003,Novel,English,Romania,
785,Cinderella,in sapien iaculis,Harlin Denington,2000,Novel,English,Germany,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
786,Belling the Cat,pede venenatis non sodales sed,Jennie Pohling,2001,Novel,English,United States,eu felis
787,Sleeping Beauty,nulla ac enim in tempor turpis,Antonio Baily,1997,Short story,English,Spain,pretium quis lectus suspendisse potenti in eleifend quam a odio in
788,The Town Mouse and the Country Mouse,est congue,Polly Ellissen,2007,Short story,English,Indonesia,nunc purus phasellus
789,Belling the Cat,augue quam sollicitudin,Sayres Skipping,2011,Short story,English,Spain,auctor gravida sem praesent id
790,Aesops Fables,in hac habitasse platea dictumst,Magdalen Knight,2011,Short story,English,Turkey,vestibulum ante ipsum
791,Sleeping Beauty,molestie sed justo,Auria Prinne,2009,Novel,English,Romania,maecenas tincidunt lacus
792,Little Red Riding Hood,consequat in consequat ut nulla,Skippy Nice,2007,Novel,English,Hungary,
793,The Lion and the Mouse,neque aenean auctor,Thea Fincken,2004,Short story,English,Barbados,
794,Puss in Boots,morbi odio odio elementum,Wallache Guise,2010,Short story,English,Malaysia,sit amet consectetuer adipiscing
795,Ghost Stories,consectetuer eget rutrum at lorem integer,Hugh Atherley,2002,Novel,English,Romania,quis libero nullam sit amet turpis elementum ligula vehicula consequat
796,Aesops Fables,turpis nec euismod scelerisque quam,Enrika Ivel,1992,Short story,English,Russia,et tempus semper
797,The Fisherman and his Wife,phasellus in felis,Ilario Iddens,1996,Short story,English,Barbados,vitae nisl aenean lectus pellentesque
798,Gingerbread Man,amet nulla quisque arcu,Gretal Christie,2009,Short story,English,Singapore,eget tempus vel pede morbi porttitor
799,The Fisherman and his Wife,integer pede justo lacinia,Franz Sumpter,1987,Short story,English,Estonia,donec semper sapien a libero nam dui proin leo odio
800,The Town Mouse and the Country Mouse,semper est quam,Teddy Battey,2012,Short story,English,Turkey,elit proin interdum mauris
801,Hans in Luck,at nulla suspendisse potenti cras in,Cristin Wrankmore,1994,Short story,English,Vietnam,id mauris vulputate elementum nullam varius nulla facilisi cras
802,Tom Thumb,semper porta volutpat quam pede lobortis,Meade Kubala,1992,Novel,English,Japan,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
803,Trickster Tales,nisl duis ac nibh,Carmine Boler,2007,Short story,English,United States,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
804,Fractured Fairy Tales,sit amet justo morbi,Glory Wilshire,2005,Short story,English,Germany,donec semper sapien a libero
805,Stone Soup,vivamus vestibulum sagittis sapien,Ignacio Laible,2007,Short story,English,Nepal,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
806,Stone Soup,placerat praesent blandit nam nulla integer,Dillie Bugbird,1992,Novel,English,Spain,id mauris vulputate elementum nullam varius nulla facilisi cras non
807,Tom Thumb,ac nulla,Carson Parell,1993,Novel,English,Japan,mi integer ac
808,Little Red Riding Hood,consequat metus sapien ut nunc vestibulum,Stavro Breheny,2005,Short story,English,Grenada,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
809,Fractured Fairy Tales,etiam faucibus cursus urna ut tellus,Dara Wooderson,2009,Short story,English,Turkey,lacinia erat vestibulum sed magna at nunc commodo placerat
810,Sleeping Beauty,porttitor id consequat in consequat ut,Nyssa Gallyhaock,1992,Novel,English,Sweden,
811,Jack and the Beanstalk,leo rhoncus,Ebenezer Cadden,2008,Novel,English,Hungary,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
812,Fractured Fairy Tales,non velit donec diam neque,Dyana Horsell,1987,Short story,English,Italy,tincidunt nulla mollis molestie lorem
813,Chicken Little,et magnis dis parturient,Xever Penhaligon,2007,Short story,English,Singapore,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in
814,Goldilocks and the Three Bears,odio in,Teddy Carlton,1986,Short story,English,Serbia,est quam pharetra magna ac consequat
815,The Fox and the Grapes,elit proin,Griselda Satterfitt,1999,Short story,English,China,rutrum neque aenean
816,Jack and the Beanstalk,faucibus accumsan odio curabitur,Kendricks Bartosik,2012,Novel,English,Iceland,accumsan odio curabitur convallis duis consequat
817,The Town Mouse and the Country Mouse,eu massa,Joane Gress,1987,Short story,English,Russia,lectus vestibulum quam sapien varius ut
818,The Lion and the Mouse,ac enim in tempor turpis,Olivia Goforth,2011,Short story,English,Hungary,
819,The Grasshopper and the Ants,mattis egestas,Tracey Messier,2012,Novel,English,United States,a suscipit nulla elit ac nulla sed vel enim
820,Gingerbread Man,elementum ligula vehicula consequat morbi a,Trip Braidon,1998,Short story,English,Dominica,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
821,The Teeny Tiny Woman,vel est donec odio justo,Kearney Farraway,1992,Short story,English,Italy,praesent id massa id
822,Seven Swabians,diam vitae quam suspendisse potenti,Norrie Ferroni,2000,Novel,English,Jamaica,suspendisse accumsan
823,The Princess and the Pea,in consequat ut nulla sed accumsan,Vally Gownge,1984,Novel,English,Malaysia,viverra pede ac diam
824,Trickster Tales,tristique in tempus sit,Port Pietz,2001,Short story,English,United Kingdom,metus aenean fermentum donec ut mauris eget massa
825,Stone Soup,lorem quisque ut erat,Philippine Splevings,1988,Novel,English,Dominica,quam pede lobortis ligula
826,The Fisherman and his Wife,consectetuer eget rutrum at lorem integer,Di Marchent,2001,Short story,English,Germany,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
827,The Little Red Hen,pede venenatis non sodales sed tincidunt,Lisette Fenners,2008,Novel,English,Estonia,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
828,Hans in Luck,in blandit ultrices,Kippy Bly,2004,Novel,English,Russia,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
829,Jack and the Beanstalk,proin risus,Markos Bonnick,2010,Novel,English,India,orci luctus et ultrices posuere cubilia
830,Fractured Fairy Tales,massa quis,Phylis Tolfrey,1989,Short story,English,Barbados,massa id nisl venenatis lacinia aenean sit
831,Hans in Luck,tincidunt eget tempus vel pede morbi,Von Cicetti,2000,Novel,English,Barbados,vel pede morbi porttitor lorem
832,Henny Penny,sem fusce,Alistair O'Neill,1993,Novel,English,Russia,
833,The Lion and the Mouse,nam ultrices,Gratiana Heater,2005,Short story,English,Serbia,sagittis nam congue risus
834,Stone Soup,ut mauris eget massa tempor convallis,Flori MacKinnon,2004,Novel,English,Jamaica,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
835,Fractured Fairy Tales,non mattis pulvinar nulla,Bryan Spatoni,2011,Novel,English,United States,sapien quis libero nullam sit amet turpis elementum ligula vehicula
836,Hans in Luck,ridiculus mus etiam vel augue vestibulum,Shalne Carik,2012,Short story,English,France,odio consequat
837,Cinderella,vestibulum rutrum rutrum neque aenean auctor,Nicholle Allott,1992,Short story,English,India,
838,Cinderella,nunc commodo placerat,Thaddus Johansson,2007,Short story,English,United States,ut nunc
839,Stone Soup,lectus aliquam sit,Quintin Kedge,1988,Novel,English,China,ipsum dolor sit amet consectetuer adipiscing elit proin interdum
840,Tom Thumb,vel lectus in quam,Tara Betham,2011,Novel,English,Spain,
841,The Town Mouse and the Country Mouse,ante ipsum,Flory McCabe,1998,Short story,English,Germany,ultrices vel
842,The Fox and the Grapes,eu felis,Nonnah Vick,1996,Novel,English,Sweden,turpis elementum ligula vehicula consequat morbi a
843,Fractured Fairy Tales,aliquam convallis nunc proin,Kipper Andryushchenko,2001,Short story,English,Nepal,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
844,Seven Swabians,nibh fusce lacus,Elspeth Lysons,2011,Novel,English,Malaysia,curae duis faucibus accumsan odio
845,Stone Soup,eu nibh quisque id justo sit,Elyssa D'Emanuele,2008,Novel,English,Serbia,imperdiet sapien urna pretium nisl ut
846,The Little Red Hen,vestibulum proin eu,Kipp Erangey,2004,Short story,English,Norway,
847,The Lion and the Mouse,ante ipsum primis in faucibus orci,Elsi Godsafe,2001,Novel,English,Hungary,sed interdum venenatis turpis enim blandit mi in porttitor
848,Fractured Fairy Tales,consectetuer adipiscing elit proin interdum mauris,Leon Gwinn,2007,Short story,English,Dominica,integer pede justo lacinia eget
849,Hansel and Gretel,habitasse platea dictumst aliquam,Traver Phillput,2005,Short story,English,United States,sit amet
850,The Town Mouse and the Country Mouse,tincidunt lacus at,Ulrick Hanhard,2003,Short story,English,Spain,a odio in hac habitasse platea dictumst maecenas ut
851,Stone Soup,leo maecenas pulvinar lobortis est,Rafaello Watkiss,2007,Short story,English,Romania,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet
852,Sleeping Beauty,est donec odio justo sollicitudin,Kain Scoggans,1996,Short story,English,Serbia,praesent blandit nam nulla integer pede justo lacinia
853,Sleeping Beauty,leo odio condimentum,Em O'Giany,2010,Short story,English,Malaysia,sed sagittis nam congue risus semper porta volutpat quam
854,Trickster Tales,duis bibendum morbi non,Nealson Gemnett,2008,Novel,English,Sweden,bibendum felis sed interdum venenatis turpis enim blandit
855,Hansel and Gretel,nam ultrices libero non mattis,Minne Smalles,2011,Novel,English,Haiti,nisi at nibh in hac
856,The Bremen Town Musicians,sociis natoque penatibus et magnis dis,Caroljean Yorath,1997,Novel,English,Thailand,
857,Fractured Fairy Tales,lobortis vel dapibus at diam,Victor Gason,2011,Novel,English,Thailand,habitasse platea
858,The Town Mouse and the Country Mouse,vel nulla eget eros elementum pellentesque,Fania Eakle,1994,Novel,English,Italy,egestas metus aenean
859,Puss in Boots,ut mauris eget massa tempor,Lita Bayford,1984,Short story,English,Dominica,
860,Puss in Boots,lobortis est phasellus sit amet erat,Eduardo Curzey,1968,Novel,English,Iceland,
861,The Fisherman and his Wife,consequat lectus in est risus,Lindsy Gibben,1990,Short story,English,Hungary,integer a nibh in quis justo maecenas
862,Puss in Boots,at lorem integer tincidunt ante,Herbert Brach,2010,Short story,English,Estonia,
863,Gingerbread Man,eu mi nulla ac enim,Chicky Vouls,2013,Novel,English,Russia,ante vestibulum ante ipsum primis in faucibus
864,The Fox and the Grapes,libero quis orci nullam molestie,Ursa Bohills,2005,Short story,English,Grenada,erat vestibulum sed magna at nunc commodo placerat praesent
865,Hansel and Gretel,rutrum rutrum neque aenean auctor gravida,Sidney Starrs,2000,Novel,English,Nepal,justo lacinia eget tincidunt eget tempus
866,Seven Swabians,odio cras,Gifford Braybrook,1990,Novel,English,United States,risus dapibus augue vel accumsan tellus
867,Henny Penny,aliquam quis turpis eget elit,Shell Battrick,2011,Novel,English,Nepal,
868,The Bremen Town Musicians,lobortis vel dapibus at diam nam,Ardelis Jamary,2012,Novel,English,Haiti,
869,The Bremen Town Musicians,interdum venenatis,Chucho Kinnett,2012,Short story,English,India,vel accumsan tellus nisi eu orci mauris lacinia sapien
870,The Teeny Tiny Woman,quis turpis eget elit sodales,Allard Marcus,2008,Short story,English,Vietnam,amet consectetuer adipiscing elit proin interdum mauris non
871,The Town Mouse and the Country Mouse,et commodo vulputate justo in blandit,Carolynn Wilkie,2010,Novel,English,France,ipsum integer a nibh in quis justo maecenas
872,The Teeny Tiny Woman,augue vestibulum ante ipsum,Noelle Vinecombe,2010,Novel,English,China,lacus at velit vivamus vel
873,Aesops Fables,at dolor,Maddalena Dregan,2009,Novel,English,Vietnam,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
874,The Princess and the Pea,tortor sollicitudin mi sit amet lobortis,Ritchie Bruhnicke,2006,Short story,English,China,consequat dui nec nisi volutpat eleifend donec ut
875,The Fisherman and his Wife,viverra pede ac,Ivan Wykey,2008,Short story,English,Hungary,vulputate luctus cum sociis natoque penatibus et magnis
876,Hansel and Gretel,vitae mattis nibh ligula,Katine Muncaster,2005,Short story,English,France,at nunc commodo placerat praesent blandit nam
877,The Town Mouse and the Country Mouse,pharetra magna vestibulum aliquet ultrices,Jannel Pears,2004,Short story,English,Thailand,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
878,Fractured Fairy Tales,rutrum nulla nunc,Tarrah Gershom,1998,Novel,English,Malaysia,
879,The Little Red Hen,vitae mattis nibh ligula,Berton Di Biaggi,2011,Short story,English,Turkey,mi integer ac neque duis
880,The Little Red Hen,cubilia curae donec pharetra magna,Cesya Riepel,2005,Short story,English,Dominica,
881,Stone Soup,in eleifend quam a odio in,Ferd Sharpling,2002,Short story,English,Iceland,ullamcorper augue a suscipit nulla elit
882,Jack and the Beanstalk,volutpat convallis morbi odio odio,Gretal Scollick,2007,Short story,English,Japan,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
883,Little Red Riding Hood,orci luctus et ultrices posuere cubilia,Skip Philcott,1987,Short story,English,Malaysia,
884,Fractured Fairy Tales,varius nulla facilisi,Sutton Sline,2005,Short story,English,Sweden,
885,Brer Rabbit,mi nulla ac,Brittan Beernt,2003,Short story,English,Portugal,luctus nec
886,The Little Red Hen,arcu libero rutrum ac lobortis vel,Anton Meeson,2004,Novel,English,United States,eros elementum pellentesque quisque porta volutpat erat quisque erat
887,Brer Rabbit,quis orci nullam molestie nibh,Korney Bartens,2005,Short story,English,Nepal,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
888,Hansel and Gretel,aliquam non,Thornton Brane,1983,Short story,English,India,
889,Fractured Fairy Tales,tempus vel pede,Perla Bennedick,1996,Novel,English,India,et eros vestibulum ac est lacinia nisi
890,Jack and the Beanstalk,ac consequat metus sapien,Salem Marxsen,2007,Novel,English,United Kingdom,consequat morbi a ipsum integer a nibh in quis justo
891,Ghost Stories,est lacinia nisi venenatis,Jory Pevsner,1992,Novel,English,Indonesia,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
892,The Princess and the Pea,rhoncus sed,Luise Chastang,2012,Short story,English,Malaysia,ut tellus nulla ut erat id mauris vulputate
893,Brer Rabbit,justo maecenas rhoncus,Orlan Paolucci,2010,Short story,English,Jamaica,
